,animal,session,trial,onset,first_lick_in,last_lick_out,water_valve_on,outcome,sound_num,reward,go_nogo,licks_out,quality,water_valve_amt
253,JUV011,211215,254,3991.776883,3991.777383,3991.956215,,3992.056882,7,-1,go,1,normal,
254,JUV011,211215,255,3992.063715,3992.151214,4012.880298,,4015.332122,6,-1,go,48,normal,
255,JUV011,211215,256,4015.438626,4015.577288,4020.680434,4029.940397,4029.940397,3,2,go,5,normal,2
256,JUV011,211215,257,4029.973896,4030.048563,4031.702056,,4034.03388,5,-1,go,15,normal,
257,JUV011,211215,258,4034.08338,4048.478656,4034.08338,4048.480822,4048.480822,1,2,go,1,normal,2
258,JUV011,211215,259,4048.521322,4048.581155,4050.177482,,4054.145633,8,-1,go,17,normal,
259,JUV011,211215,260,4054.1738,,4054.1738,,4071.581063,5,0,nogo,1,normal,
260,JUV011,211215,261,4075.659714,4075.916546,,4075.91855,4075.91855,3,2,go,0,normal,2
261,JUV011,211215,262,4075.959213,4076.025379,4077.35104,,4083.555015,6,0,nogo,14,normal,
262,JUV011,211215,263,4087.247001,4087.531513,,4087.533833,4087.533833,4,2,go,0,normal,2
263,JUV011,211215,264,4087.573999,4087.642166,4089.433325,4092.718479,4092.718479,2,2,go,19,normal,2
264,JUV011,211215,265,4092.751646,4092.819312,4094.427139,,4097.139461,5,-1,go,13,normal,
265,JUV011,211215,266,4097.167628,4099.359452,4101.255778,,4114.072393,5,0,nogo,3,normal,
266,JUV011,211215,267,4118.373876,4118.759541,,4118.761708,4118.761708,4,2,go,0,normal,2
267,JUV011,211215,268,4118.802041,4118.861708,4122.918025,,4126.572343,7,-1,go,13,normal,
268,JUV011,211215,269,4126.57901,4134.363812,4137.148134,4140.994452,4140.994452,1,2,go,11,normal,2
269,JUV011,211215,270,4141.034791,4141.095785,4146.213271,,4149.762251,9,0,go,17,normal,
270,JUV011,211215,271,4149.78359,4153.967567,4149.78359,4153.969912,4153.969912,2,2,go,1,normal,2
271,JUV011,211215,272,4154.0104,4154.0849,4155.44023,4158.536049,4158.536049,4,2,go,13,normal,2
272,JUV011,211215,273,4158.583715,4158.644386,4160.222711,4162.4842,4162.4842,2,2,go,15,normal,2
273,JUV011,211215,274,4162.4962,4162.583866,4169.777508,,4175.02915,7,0,nogo,29,normal,
274,JUV011,211215,275,4179.272633,,,,4182.522953,6,0,nogo,0,normal,
275,JUV011,211215,276,4186.671603,,,,4189.921923,8,0,nogo,0,normal,
276,JUV011,211215,277,4190.118089,4190.118089,4209.829677,,4213.943327,6,-1,go,84,normal,
277,JUV011,211215,278,4214.042661,4214.122827,4214.250993,,4231.784923,6,0,nogo,3,normal,
278,JUV011,211215,279,4235.851406,4236.177738,,4236.179908,4236.179908,1,2,go,0,normal,2
279,JUV011,211215,280,4236.220405,4236.287238,4237.774399,,4240.551888,9,0,go,15,normal,
280,JUV011,211215,281,4240.558554,,4240.558554,,4248.346023,13,-1,go,1,missed,
281,JUV011,211215,282,4262.4313,,,,4265.68162,8,0,nogo,0,normal,
282,JUV011,211215,283,4269.99927,4270.401601,,4270.403768,4270.403768,2,2,go,0,normal,2
283,JUV011,211215,284,4270.437112,4270.496768,4271.706096,,4277.724405,7,0,nogo,9,normal,
284,JUV011,211215,285,4282.182392,,,,4285.432709,5,0,nogo,0,normal,
285,JUV011,211215,286,4289.772524,4290.154689,,4290.156856,4290.156856,2,2,go,0,normal,2
286,JUV011,211215,287,4290.197356,4290.277189,4291.889016,,4297.657992,5,0,nogo,16,normal,
287,JUV011,211215,288,4301.65781,4301.914475,,4301.916642,4301.916642,4,2,go,0,normal,2
288,JUV011,211215,289,4301.950146,4302.017808,4303.638308,,4305.813793,9,0,go,11,normal,
289,JUV011,211215,290,4305.84196,,4305.84196,,4312.736266,16,-1,go,1,missed,
290,JUV011,211215,291,4323.519389,4323.519389,4331.260525,,4334.486178,7,-1,go,33,normal,
291,JUV011,211215,292,4334.49319,4348.541122,4334.49319,4348.543289,4348.543289,1,2,go,1,normal,2
292,JUV011,211215,293,4348.576455,4348.642955,4350.43279,4352.630606,4352.630606,2,2,go,17,normal,2
293,JUV011,211215,294,4352.670948,4352.732605,4356.272925,4358.36625,4358.36625,4,2,go,16,normal,2
294,JUV011,211215,295,4358.385083,4358.459083,4363.699062,4365.883053,4365.883053,3,2,go,19,normal,2
295,JUV011,211215,296,4365.916553,4365.977219,4370.061036,4372.138194,4372.138194,3,2,go,11,normal,2
296,JUV011,211215,297,4372.157031,4372.203528,4377.244674,4379.50367,4379.50367,1,2,go,15,normal,2
297,JUV011,211215,298,4379.544165,4379.630498,4384.979976,4387.314134,4387.314134,2,2,go,14,normal,2
298,JUV011,211215,299,4387.362306,4387.430314,4388.918794,4391.397951,4391.397951,4,2,go,13,normal,2
299,JUV011,211215,300,4391.438617,4391.51345,4399.109253,,4404.360899,7,0,nogo,17,normal,
300,JUV011,211215,301,4408.112717,,,,4411.363037,8,0,nogo,0,normal,
301,JUV011,211215,302,4415.713187,,,,4418.963352,7,0,nogo,0,normal,
302,JUV011,211215,303,4423.459489,,,,4426.70981,6,0,nogo,0,normal,
303,JUV011,211215,304,4430.752793,4430.936793,,4430.938793,4430.938793,4,2,go,0,normal,2
304,JUV011,211215,305,4430.957793,4431.017959,4436.775269,,4442.026748,6,0,nogo,18,normal,
305,JUV011,211215,306,4445.8469,4446.059732,,4446.061906,4446.061906,1,2,go,0,normal,2
306,JUV011,211215,307,4446.088565,4446.149065,4447.280894,,4451.040212,7,-1,go,8,normal,
307,JUV011,211215,308,4451.046879,4452.764205,4452.770872,4464.731991,4464.731991,3,2,go,2,normal,2
308,JUV011,211215,309,4464.765491,4464.833324,4468.834641,4471.033299,4471.033299,4,2,go,17,normal,2
309,JUV011,211215,310,4471.059465,4471.147132,4472.731459,,4475.082954,16,0,go,12,normal,
310,JUV011,211215,311,4475.103949,4475.196449,4476.58611,4478.923434,4478.923434,1,2,go,3,normal,2
311,JUV011,211215,312,4478.949277,4479.016767,4484.548578,4486.68457,4486.68457,4,2,go,15,normal,2
312,JUV011,211215,313,4486.703403,4486.805569,4491.499717,,4496.751363,6,0,nogo,16,normal,
313,JUV011,211215,314,4501.164678,4501.464177,,4501.466344,4501.466344,1,2,go,0,normal,2
314,JUV011,211215,315,4501.513844,4501.574177,4502.952005,4505.646827,4505.646827,3,2,go,11,normal,2
315,JUV011,211215,316,4505.679827,4505.747993,4513.801794,,4518.805441,16,-1,go,23,missed,
316,JUV011,211215,317,4528.966567,4528.966567,4539.84069,4542.045515,4542.045515,4,2,go,42,normal,2
317,JUV011,211215,318,4542.086515,4542.140514,4547.39416,4549.526318,4549.526318,4,2,go,21,normal,2
318,JUV011,211215,319,4549.559818,4549.634651,4553.691135,4556.030959,4556.030959,1,2,go,19,normal,2
319,JUV011,211215,320,4556.064467,4556.138792,4562.025935,,4567.029751,16,-1,go,15,missed,
320,JUV011,211215,321,4580.850693,4581.179026,,4581.181358,4581.181358,3,2,go,0,normal,2
321,JUV011,211215,322,4581.222025,4581.302691,4585.673174,4587.836832,4587.836832,4,2,go,14,normal,2
322,JUV011,211215,323,4587.862665,4587.930498,4592.266147,,4597.517626,8,0,nogo,17,normal,
323,JUV011,211215,324,4601.439777,,,,4604.690098,5,0,nogo,0,normal,
324,JUV011,211215,325,4609.07858,,,,4612.3289,5,0,nogo,0,normal,
325,JUV011,211215,326,4615.985052,4616.263551,,4616.265885,4616.265885,2,2,go,0,normal,2
326,JUV011,211215,327,4616.299218,4616.372051,4620.108536,4622.305861,4622.305861,4,2,go,15,normal,2
327,JUV011,211215,328,4622.338872,4622.407032,4624.343519,,4627.177841,9,0,go,16,normal,
328,JUV011,211215,329,4627.206174,4627.726005,4629.047676,4631.350991,4631.350991,1,2,go,5,normal,2
329,JUV011,211215,330,4631.391491,4631.459157,4637.057635,,4642.30928,8,0,nogo,17,normal,
330,JUV011,211215,331,4646.021766,4646.278098,,4646.280431,4646.280431,4,2,go,0,normal,2
331,JUV011,211215,332,4646.313431,4646.387764,4650.097083,4652.211074,4652.211074,2,2,go,15,normal,2
332,JUV011,211215,333,4652.230241,4652.303907,4657.699552,4660.017543,4660.017543,4,2,go,16,normal,2
333,JUV011,211215,334,4660.065376,4660.131709,4661.729369,4664.007527,4664.007527,1,2,go,16,normal,2
334,JUV011,211215,335,4664.019194,4664.079035,4669.772671,,4675.024316,8,0,nogo,26,normal,
335,JUV011,211215,336,4678.783635,,,,4682.033955,6,0,nogo,0,normal,
336,JUV011,211215,337,4685.82744,,,,4689.07776,6,0,nogo,0,normal,
337,JUV011,211215,338,4693.267077,4693.448909,,4693.451076,4693.451076,3,2,go,0,normal,2
338,JUV011,211215,339,4693.463242,4693.536575,4694.87707,,4697.583226,6,-1,go,10,normal,
339,JUV011,211215,340,4697.590235,4705.091863,4721.026306,4723.381789,4723.381789,1,2,go,54,normal,2
340,JUV011,211215,341,4723.422289,4723.488289,4725.501781,4727.806948,4727.806948,3,2,go,19,normal,2
341,JUV011,211215,342,4727.832946,4727.900438,4732.944085,,4738.19573,5,0,nogo,14,normal,
342,JUV011,211215,343,4742.30855,,,,4745.55887,5,0,nogo,0,normal,
343,JUV011,211215,344,4749.753851,,,,4753.004171,6,0,nogo,0,normal,
